handle,title,category,description,sku,variant_title,color,price_eur,image_url
ngs-wild-space-3,NGS WILD SPACE 3 | Altavoz party speaker profesional,Audio,"Altavoz NGS orientado a canal retail y distribuidores, con foco en rotacion, disponibilidad y compra por volumen para campanas de audio.",NGS-WILD-SPACE-3-BLK,Caja 1 unidad / Negro,Black,271.2,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-front.png
ngs-wild-space-3,NGS WILD SPACE 3 | Altavoz party speaker profesional,Audio,"Altavoz NGS orientado a canal retail y distribuidores, con foco en rotacion, disponibilidad y compra por volumen para campanas de audio.",NGS-WILD-SPACE-3-RED,Caja 1 unidad / Rojo,Red,279.2,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-front.png
ngs-xpresscam-1080,NGS XPRESSCAM 1080 | Webcam profesional,Accesorios,"Webcam 1080p para empresas, educacion y distribuidores IT. Producto adecuado para reposicion recurrente y packs por volumen.",NGS-XPRESSCAM-1080-BLK,XPRESSCAM 1080 Black,Black,47.92,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-front.png
ngs-xpresscam-1080,NGS XPRESSCAM 1080 | Webcam profesional,Accesorios,"Webcam 1080p para empresas, educacion y distribuidores IT. Producto adecuado para reposicion recurrente y packs por volumen.",NGS-XPRESSCAM-1080-WHT,XPRESSCAM 1080 White,White,51.92,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-front.png
ngs-powerpump-10w,NGS POWERPUMP 10W | Powerbank movilidad,Movilidad,"Powerbank NGS para canal movilidad, ideal para compra por caja, programas de empresa y promociones retail.",NGS-POWERPUMP-10W-PUR,POWERPUMP 10W Purple,Purple,24.9,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-front.png
ngs-powerpump-10w,NGS POWERPUMP 10W | Powerbank movilidad,Movilidad,"Powerbank NGS para canal movilidad, ideal para compra por caja, programas de empresa y promociones retail.",NGS-POWERPUMP-10W-RED,POWERPUMP 10W Red,Red,22.9,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-front.png
ngs-gmx-27,NGS GMX-27 | Monitor gaming distribucion,PC y Gaming,"Monitor gaming NGS para surtido de canal, con disponibilidad y precio B2B por region para pedidos recurrentes.",NGS-GMX-27-WHT,GMX-27 White,White,159.9,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-front.png
ngs-gmx-27,NGS GMX-27 | Monitor gaming distribucion,PC y Gaming,"Monitor gaming NGS para surtido de canal, con disponibilidad y precio B2B por region para pedidos recurrentes.",NGS-GMX-27-BLK,GMX-27 Black,Black,149.9,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-front.png
ngs-ghx-600,NGS GHX-600 | Auricular gaming,Audio,"Auricular gaming NGS para lineales retail, bundles y reposicion por volumen en cuentas B2B.",NGS-GHX-600-BLK,GHX-600 Black,Black,31.99,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-front.png
ngs-ghx-600,NGS GHX-600 | Auricular gaming,Audio,"Auricular gaming NGS para lineales retail, bundles y reposicion por volumen en cuentas B2B.",NGS-GHX-600-WHT,GHX-600 White,White,34.99,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-front.png
ngs-funky-kit,NGS FUNKY KIT | Teclado y raton profesional,PC y Gaming,"Pack teclado y raton NGS para empresas, aulas, integradores y distribuidores IT.",NGS-FUNKY-KIT-BLK,FUNKY KIT Black,Black,18.9,https://medusa-public-images.s3.eu-west-1.amazonaws.com/keyboard-front.png
ngs-funky-kit,NGS FUNKY KIT | Teclado y raton profesional,PC y Gaming,"Pack teclado y raton NGS para empresas, aulas, integradores y distribuidores IT.",NGS-FUNKY-KIT-WHT,FUNKY KIT White,White,19.9,https://medusa-public-images.s3.eu-west-1.amazonaws.com/keyboard-front.png
ngs-evo-mouse,NGS EVO MOUSE | Raton inalambrico,PC y Gaming,"Raton inalambrico NGS para pedidos por lote, renovacion de puestos y canal informatico.",NGS-EVO-MOUSE-BLK,EVO MOUSE Black,Black,9.9,https://medusa-public-images.s3.eu-west-1.amazonaws.com/mouse-top.png
ngs-evo-mouse,NGS EVO MOUSE | Raton inalambrico,PC y Gaming,"Raton inalambrico NGS para pedidos por lote, renovacion de puestos y canal informatico.",NGS-EVO-MOUSE-WHT,EVO MOUSE White,White,10.9,https://medusa-public-images.s3.eu-west-1.amazonaws.com/mouse-top.png
ngs-wild-bash-compact,NGS WILD BASH COMPACT | Altavoz portatil,Audio,"Altavoz compacto NGS con precio B2B, buen margen y alta rotacion para distribuidores.",NGS-WILD-BASH-COMPACT-BLK,WILD BASH COMPACT Black,Black,87.2,https://medusa-public-images.s3.eu-west-1.amazonaws.com/speaker-top.png
ngs-wild-bash-compact,NGS WILD BASH COMPACT | Altavoz portatil,Audio,"Altavoz compacto NGS con precio B2B, buen margen y alta rotacion para distribuidores.",NGS-WILD-BASH-COMPACT-WHT,WILD BASH COMPACT White,White,89.2,https://medusa-public-images.s3.eu-west-1.amazonaws.com/speaker-top.png
